Timestamp,Transactions,USD
2016-06-30,1,0
2017-03-20,3,0
2017-06-29,5,0
2017-07-02,1,0
2017-07-10,1,0
2017-07-18,1,0
2017-07-26,1,0
2017-07-30,1,0
2017-08-25,1,0
2017-09-01,1,0
2017-09-04,1,0
2017-09-21,1,0
2017-09-28,1,0
2017-10-08,1,0
2017-10-10,1,0
2017-11-02,1,0
2017-11-03,2,0
2017-11-14,2,0
2017-12-02,7,0
2017-12-07,2,0
2018-01-08,4,0
2018-01-09,1,0
2018-01-15,1,0
2018-01-23,1,0
2018-01-31,1,0
2018-02-01,42,0
2018-02-02,7,0
2018-02-03,1,0
2018-02-04,1,0
2018-02-11,2,0
2018-02-18,1,0
2018-02-20,3,0
2018-02-22,11,0
2018-02-23,9,0
2018-02-24,18,0
2018-02-25,6,0
2018-02-26,13,0
2018-02-27,6,0
2018-02-28,4,0
2018-03-01,8,0
2018-03-02,1,0
2018-03-03,3,0
2018-03-04,1,0
2018-03-07,6,0
2018-03-08,4,0
2018-03-09,1,0
2018-03-10,3,0
2018-03-11,5,0
2018-03-12,1,0
2018-03-14,2,0
2018-03-15,2,0
2018-03-16,10,0
2018-03-25,1,0
2018-03-27,4,0
2018-03-28,1,0
2018-03-31,2,0
2018-04-11,1,0
2018-04-13,13,0
2018-04-14,3,0
2018-04-16,2,0
2018-04-17,2,0
2018-04-21,1,0
2018-04-22,1,0
2018-04-25,2,0
2018-04-26,13,0
2018-04-28,2,0
2018-04-29,180,0
2018-05-09,1,0
2018-05-15,2,0
2018-05-17,1,0
2018-05-18,1,0
2018-05-19,1,0
2018-05-22,3,0
2018-05-24,1,0
2018-05-25,3,0
2018-05-26,1,0
2018-06-07,1,0
2018-06-10,1,0
2018-06-11,1,0
2018-06-13,1,0
2018-06-16,1,0
2018-06-20,1,0
2018-06-25,2,0
2018-06-26,1,0
2018-06-29,1,0
2018-07-01,8,0
2018-07-04,2,0
2018-07-08,1,0
2018-07-10,6,0
2018-07-12,1,0
2018-07-14,1,0
2018-07-15,1,0
2018-07-16,2,0
2018-07-19,3,0
2018-07-24,4,0
2018-07-26,1,0
2018-08-01,5,0
2018-08-02,118,0
2018-08-03,1,0
2018-08-04,1,0
2018-08-05,1,0
2018-08-07,6,0
2018-08-14,1,0
2018-08-20,1,0
2018-08-21,3,0
2018-08-22,3,0
2018-08-24,18,0
2018-08-25,10,0
2018-08-28,1,0
2018-08-29,3,0
2018-08-30,1,0
2018-09-01,2,0
2018-09-02,16,0
2018-09-03,9,0
2018-09-05,3,0
2018-09-06,3,0
2018-09-07,7,0
2018-09-11,1,0
2018-09-13,2,0
2018-09-18,2,0
2018-09-22,1,0
2018-10-03,2,0
2018-10-16,2,0
2018-10-19,1,0
2018-10-26,2,0
2018-11-05,102,0
2018-11-06,53,0
2018-11-12,1,0
2018-11-21,1,0
2018-11-27,1,0
2018-12-07,2,0
2018-12-10,2,0
2019-01-03,1,0
2019-01-25,2,0
2019-01-26,1,0
2019-02-06,3,0
2019-02-10,2,0
2019-02-11,2,0
2019-03-06,2,0
2019-03-08,1,0
2019-03-13,1,0
2019-03-16,1,0
2019-03-22,1,0
2019-03-27,1,0
2019-03-30,1,0
2019-04-03,1,0
2019-05-10,2,0
2019-05-11,2,0
2019-05-15,2,0
2019-05-20,6,0
2019-11-07,1,0
